activation,batch_size,epochs,input_dim,loss,lr,Free_eng_score
leaky_relu,32,200,20,mse,0.005,0.8439589347004708
leaky_relu,32,200,20,mse,0.01,0.8602973538083867
leaky_relu,32,200,20,mse,0.05,0.9024281338302862
leaky_relu,32,200,20,mse,0.1,0.9053782948709862
leaky_relu,32,200,25,mse,0.005,0.6882554953791764
leaky_relu,32,200,25,mse,0.01,0.8318731600903259
leaky_relu,32,200,25,mse,0.05,0.7957029039617691
leaky_relu,32,200,25,mse,0.1,0.8318968226820707
leaky_relu,32,200,30,mse,0.005,0.8378752641685444
leaky_relu,32,200,30,mse,0.01,0.8576369274259421
leaky_relu,32,200,30,mse,0.05,0.8880715969720787
leaky_relu,32,200,30,mse,0.1,0.9001956466541515
leaky_relu,32,200,35,mse,0.005,0.623540718161973
leaky_relu,32,200,35,mse,0.01,0.7855137194870949
leaky_relu,32,200,35,mse,0.05,0.8148825968106324
leaky_relu,32,200,35,mse,0.1,0.850209898384529
leaky_relu,32,200,40,mse,0.005,0.807356756645422
leaky_relu,32,200,40,mse,0.01,0.837161119807294
leaky_relu,32,200,40,mse,0.05,0.8769181420917378
leaky_relu,32,200,40,mse,0.1,0.832016893530396
leaky_relu,32,250,20,mse,0.005,0.8462933959630443
leaky_relu,32,250,20,mse,0.01,0.8697701328105605
leaky_relu,32,250,20,mse,0.05,0.88847635348257
leaky_relu,32,250,20,mse,0.1,0.8803735125114789
leaky_relu,32,250,25,mse,0.005,0.7840160544928261
leaky_relu,32,250,25,mse,0.01,0.8324718351297483
leaky_relu,32,250,25,mse,0.05,0.7922519329620256
leaky_relu,32,250,25,mse,0.1,0.860734538349865
leaky_relu,32,250,30,mse,0.005,0.8574509164266579
leaky_relu,32,250,30,mse,0.01,0.8769991872838785
leaky_relu,32,250,30,mse,0.05,0.8869616130526612
leaky_relu,32,250,30,mse,0.1,0.9109488936614453
leaky_relu,32,250,35,mse,0.005,0.7702076611768944
leaky_relu,32,250,35,mse,0.01,0.7769263082506097
leaky_relu,32,250,35,mse,0.05,0.8167776916282503
leaky_relu,32,250,35,mse,0.1,0.8325128642898265
leaky_relu,32,250,40,mse,0.005,0.8193552741617312
leaky_relu,32,250,40,mse,0.01,0.8448910991404773
leaky_relu,32,250,40,mse,0.05,0.8683945992855719
leaky_relu,32,250,40,mse,0.1,0.8081329859143991
leaky_relu,32,300,20,mse,0.005,0.8499217842594202
leaky_relu,32,300,20,mse,0.01,0.8762974236887152
leaky_relu,32,300,20,mse,0.05,0.9112582820003926
leaky_relu,32,300,20,mse,0.1,0.880948574772206
leaky_relu,32,300,25,mse,0.005,0.8022171671368128
leaky_relu,32,300,25,mse,0.01,0.8314908937320916
