,Unnamed: 0,mat_id,composition,volume,density_atomic,density,nsites,crys_sys,spc_grp,A_lat,B_lat,C_lat,alpha,beta,gamma,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization,total_magnetization_normalized_vol,num_magnetic_sites,num_unique_magnetic_sites,min_bond,max_bond,mean_bond,varience_bond,valence_density,electron_density,gilman_density,outer_density,reduced_valence_density,reduced_electron_density,reduced_gilman_density,reduced_outer_density,avg_ Atomic_Number,avg_ Atomic_Weight,avg_Period,avg_group,avg_families,avg_Mendeleev Number,avg_Atomic Radus,avg_ Covalent_Radius,avg_Zunger radii sum,avg_ionic radius,avg_crystal radius,avg_ Pauling_Electronegativity,avg_MB electonegativity,avg_Gordy electonegativity,avg_Mullinke EN,avg_Allred-Rockow electronegativity,avg_metallic valence,avg_number of valence electrons,avg_gilmor number of valence electron,avg_valence s,avg_valence p,avg_valence d,avg_outer shell electrons,avg_1st ionization potential (kJ/mol),avg_polarizability(A^3),avg_Melting point (K),avg_Boiling Point (K),avg_Density (g/mL),avg_specific heat (J/g K) ,avg_heat of fusion (kJ/mol) ,avg_heat of vaporization (kJ/mol) ,avg_thermal conductivity (W/(m K)) ,avg_heat atomization (kJ/mol),avg_Cohesive energy,avg_electron affinity (kJ/mol),diff_ Atomic_Number,diff_ Atomic_Weight,diff_Period,diff_group,diff_families,diff_Mendeleev Number,diff_Atomic Radus,diff_ Covalent_Radius,diff_Zunger radii sum,diff_ionic radius,diff_crystal radius,diff_ Pauling_Electronegativity,diff_MB electonegativity,diff_Gordy electonegativity,diff_Mullinke EN,diff_Allred-Rockow electronegativity,diff_metallic valence,diff_number of valence electrons,diff_gilmor number of valence electron,diff_valence s,diff_valence p,diff_valence d,diff_outer shell electrons,diff_1st ionization potential (kJ/mol),diff_polarizability(A^3),diff_Melting point (K),diff_Boiling Point (K),diff_Density (g/mL),diff_specific heat (J/g K) ,diff_heat of fusion (kJ/mol) ,diff_heat of vaporization (kJ/mol) ,diff_thermal conductivity (W/(m K)) ,diff_heat atomization (kJ/mol),diff_Cohesive energy,diff_electron affinity (kJ/mol),max_ Atomic_Number,max_ Atomic_Weight,max_Period,max_group,max_families,max_Mendeleev Number,max_Atomic Radus,max_ Covalent_Radius,max_Zunger radii sum,max_ionic radius,max_crystal radius,max_ Pauling_Electronegativity,max_MB electonegativity,max_Gordy electonegativity,max_Mullinke EN,max_Allred-Rockow electronegativity,max_metallic valence,max_number of valence electrons,max_gilmor number of valence electron,max_valence s,max_valence p,max_valence d,max_outer shell electrons,max_1st ionization potential (kJ/mol),max_polarizability(A^3),max_Melting point (K),max_Boiling Point (K),max_Density (g/mL),max_specific heat (J/g K) ,max_heat of fusion (kJ/mol) ,max_heat of vaporization (kJ/mol) ,max_thermal conductivity (W/(m K)) ,max_heat atomization (kJ/mol),max_Cohesive energy,max_electron affinity (kJ/mol),min_ Atomic_Number,min_ Atomic_Weight,min_Period,min_group,min_families,min_Mendeleev Number,min_Atomic Radus,min_ Covalent_Radius,min_Zunger radii sum,min_ionic radius,min_crystal radius,min_ Pauling_Electronegativity,min_MB electonegativity,min_Gordy electonegativity,min_Mullinke EN,min_Allred-Rockow electronegativity,min_metallic valence,min_number of valence electrons,min_gilmor number of valence electron,min_valence s,min_valence p,min_valence d,min_outer shell electrons,min_1st ionization potential (kJ/mol),min_polarizability(A^3),min_Melting point (K),min_Boiling Point (K),min_Density (g/mL),min_specific heat (J/g K) ,min_heat of fusion (kJ/mol) ,min_heat of vaporization (kJ/mol) ,min_thermal conductivity (W/(m K)) ,min_heat atomization (kJ/mol),min_Cohesive energy,min_electron affinity (kJ/mol),F_kJ/mol,S _J/K/mol,c_v_J/K/mol,e_kJ/mol
1,38,mp-10347,Cs1 Ca2 Ta3 O10,242.127902492312,15.1329939057695,6.28133398715459,16,4.0,123,3.950634,3.950634,15.513552,90.0,90.0,90.0,-8.943671529375,-3.32199514596444,0.023552848028251,2.1798,0.0535977,0.000221361104806,0,0,1.798439542704,3.26252053044116,2.58350745595445,0.243216096247086,0.503865926827138,1.62723914073682,0.037170437224953,0.210632477608066,1.21391411690466,3.92034559065932,0.089551041411,0.507455901328998,24.625,57.243695625,3.25,11.25,5.4375,64.5625,1.034375,1.071875,1.458125,1.034375,1.158125,2.605625,2.633125,7.1176625,5.894375,2.6779375,1.25,5.0,4.625,1.9375,2.5,0.5625,4.4375,1061.1875,9.526875,805.0500000000001,1403.275,3.42401875,0.6950000000000001,7.26236875,164.83993750000002,39.4854625,329.4375,3.4365,97.0628125,65.0,164.9485,4.0,15.0,6.0,82.0,2.0,1.62,3.845,2.0,1.03,2.65,2.55,5.3575,5.359999999999999,2.951,5.0,5.0,5.0,1.0,4.0,3.0,5.0,938.0,58.807,3214.4,5608.0,16.598570000000002,0.78,31.37741,739.5901,199.97326,703.0,7.295999999999999,138.606,73.0,180.9479,6.0,16.0,7.0,87.0,2.6,2.35,4.31,2.6,1.81,3.44,3.32,8.3703,7.54,3.61,5.0,6.0,6.0,2.0,4.0,3.0,6.0,1314.0,59.6,3269.15,5698.15,16.6,0.92,31.6,743.0,200.0,782.0,8.1,140.976,8.0,15.9994,2.0,1.0,1.0,5.0,0.6,0.73,0.465,0.6,0.78,0.79,0.77,3.0128,2.18,0.659,0.0,1.0,1.0,1.0,0.0,0.0,1.0,376.0,0.793,54.75,90.15,0.00143,0.14,0.22259,3.4099,0.02674,79.0,0.804,2.37,26.034681,397.538488,302.118621,145.2962273
4,51,mp-10417,K2 Sb2 O4,149.567436447131,18.6959295558913,4.2823057803011,8,2.0,15,5.58275070618816,5.71173492632314,5.71173477460098,92.9629728199125,113.068917612412,113.068907844587,-5.67052968125,-1.887335278875,0.0,2.011,0.0,0.0,0,0,1.97530495927282,3.02200467884209,2.54142893130199,0.163207439512032,0.374413049593151,1.14998293803611,0.133718946283268,0.160462735539922,1.63463338657423,5.02065968733514,0.583797638062226,0.700557165674671,21.5,48.214275,3.25,12.0,5.25,65.5,1.2125,1.2225,1.59625,1.2125,1.21,2.4375,2.395,6.131025,5.5875,2.4845,1.0,4.5,4.5,1.75,2.75,2.5,3.75,970.25,12.8965,337.5125,859.1500000000001,1.888215,0.7,5.662295,40.95745,31.68837,212.5,2.231,107.8485,43.0,105.7606,3.0,15.0,6.0,84.0,1.6,1.2999999999999998,3.225,1.6,0.62,2.62,2.52,5.5821000000000005,5.12,2.876,3.0,5.0,5.0,1.0,4.0,10.0,5.0,895.0,42.607,849.4,2133.0,6.68857,0.7100000000000001,19.64741,76.46010000000001,102.37326,172.0,1.816,92.593,51.0,121.76,5.0,16.0,7.0,87.0,2.2,2.03,3.69,2.2,1.52,3.44,3.32,8.3703,7.54,3.61,3.0,6.0,6.0,2.0,4.0,10.0,6.0,1314.0,43.4,904.15,2223.15,6.69,0.92,19.87,79.87,102.4,262.0,2.75,140.976,8.0,15.9994,2.0,1.0,1.0,3.0,0.6,0.73,0.465,0.6,0.9,0.82,0.8,2.7882,2.42,0.734,0.0,1.0,1.0,1.0,0.0,0.0,1.0,419.0,0.793,54.75,90.15,0.00143,0.21,0.22259,3.4099,0.02674,90.0,0.934,48.383,1.2609919,228.4030105,167.6949349,69.7818951
5,52,mp-10418,Rb2 Sb2 O4,167.908340103111,20.9885425128889,4.731690097418,8,2.0,15,5.58196750832797,6.01609944225342,6.01610010312518,96.9225217303028,111.263354757907,111.263356126429,-5.61573791,-1.86500972625,0.0,2.2483,0.0,0.0,0,0,1.974202148457,3.19456087164514,2.63505489188501,0.232108081499216,0.333515297486777,1.23877110495089,0.119112606245278,0.142935127494333,1.47938682709161,5.49486535776883,0.528352438247003,0.634022925896404,26.0,59.80665,3.5,12.0,5.25,65.75,1.25,1.255,1.6987499999999998,1.25,1.245,2.4375,2.395,6.2311250000000005,5.5675,2.4775,1.0,4.5,4.5,1.75,2.75,2.5,3.75,966.25,13.8715,331.425,840.6500000000001,2.055715,0.6032500000000001,5.626795,39.04395,20.63837,211.5,2.2105,107.47375,43.0,105.7606,3.0,15.0,6.0,83.0,1.75,1.4300000000000002,3.635,1.75,0.7599999999999999,2.62,2.52,5.1817,5.2,2.904,3.0,5.0,5.0,1.0,4.0,10.0,5.0,911.0,46.507,849.4,2133.0,6.68857,0.7100000000000001,19.64741,73.73010000000001,58.173260000000006,176.0,1.898,94.092,51.0,121.76,5.0,16.0,7.0,87.0,2.35,2.16,4.1,2.35,1.66,3.44,3.32,8.3703,7.54,3.61,3.0,6.0,6.0,2.0,4.0,10.0,6.0,1314.0,47.3,904.15,2223.15,6.69,0.92,19.87,77.14,58.2,262.0,2.75,140.976,8.0,15.9994,2.0,1.0,1.0,4.0,0.6,0.73,0.465,0.6,0.9,0.82,0.8,3.1886,2.34,0.706,0.0,1.0,1.0,1.0,0.0,0.0,1.0,403.0,0.793,54.75,90.15,0.00143,0.21,0.22259,3.4099,0.02674,86.0,0.852,46.884,-6.2487997,252.5301025,168.6190782,69.510231
6,54,mp-10444,Ca4 Al4 O10,209.289817496124,11.627212083118,3.39766277434234,18,3.0,46,8.18263960030435,8.18263960030435,8.18263960030435,142.315030946138,140.98667690941,55.3624183842253,-7.43838321,-3.41218376819444,0.022759404126982,3.5662,5.65e-05,2.69960577518523e-07,0,0,1.76322567210427,2.81015089410636,2.26044110610915,0.103147047332197,0.382245065512953,1.01294942360933,0.0,0.248459292583419,1.3080887479496,3.46643518206645,0.0,0.850257686167242,11.77777777777778,23.790675333333333,2.6666666666666665,12.22222222222222,5.444444444444445,66.11111111111111,1.011111111111111,1.0544444444444443,1.297222222222222,1.011111111111111,1.0433333333333334,2.4911111111111115,2.4688888888888885,6.102722222222223,5.395555555555555,2.593777777777777,1.1111111111111112,4.444444444444445,4.444444444444445,2.0,2.4444444444444446,0.0,4.444444444444445,989.5555555555557,7.351666666666667,484.92777777777775,1049.4833333333331,0.9452388888888889,0.8511111111111112,4.4192166666666655,101.16105555555554,97.12596666666668,250.3333333333333,2.617777777777778,88.12711111111112,12.0,24.0786,2.0,14.0,5.0,80.0,1.2000000000000002,1.01,2.535,1.2000000000000002,0.6799999999999999,2.44,2.15,5.3575,5.34,2.576,3.0,4.0,4.0,0.0,4.0,0.0,4.0,736.0,22.007,1057.4,2650.0,2.69857,0.29,10.56741,289.9901,236.97326,148.0,1.55,138.606,20.0,40.078,4.0,16.0,7.0,87.0,1.8,1.74,3.0,1.8,1.21,3.44,3.32,8.3703,7.54,3.61,3.0,6.0,6.0,2.0,4.0,0.0,6.0,1314.0,22.8,1112.15,2740.15,2.7,0.92,10.79,293.4,237.0,326.0,3.39,140.976,8.0,15.9994,2.0,2.0,2.0,7.0,0.6,0.73,0.465,0.6,0.53,1.0,1.17,3.0128,2.2,1.034,0.0,2.0,2.0,2.0,0.0,0.0,2.0,578.0,0.793,54.75,90.15,0.00143,0.63,0.22259,3.4099,0.02674,178.0,1.84,2.37,90.4185448,294.0983951,329.4908214,178.6480634
7,108,mp-12385,Ba2 Y1 Ta1 O6,155.508347317302,15.5508347317302,6.8393893223847,10,4.0,87,6.025464,6.04146329995449,6.025464,119.912435221565,90.0,119.912435221565,-8.75761453,-3.57338144091667,0.0,3.4639,0.0,0.0,0,0,2.01658675201748,3.18466937359004,2.72959789312735,0.191564219817733,0.398692424359023,1.74910224880088,0.025722091894131,0.205776735153044,0.906513682399679,3.97696325181795,0.058484753703205,0.467878029625641,27.200000000000003,64.050415,3.5,10.8,5.300000000000001,60.0,1.115,1.13,1.5324,1.12,1.206,2.514,2.543,6.91397,5.734,2.5882,1.2000000000000002,4.8,4.4,2.0,2.4,0.4,4.4,1025.1,11.9958,739.0100000000001,1367.55,2.8078580000000004,0.6368,5.983554000000001,141.04594,11.166044,305.9,3.1990000000000003,93.4364,65.0,164.9485,4.0,14.0,5.0,78.0,1.5499999999999998,1.25,2.9370000000000003,1.5499999999999998,0.71,2.55,2.24,4.966,5.140000000000001,2.729,5.0,4.0,5.0,0.0,4.0,3.0,4.0,811.0,38.907,3214.4,5608.0,16.598570000000002,0.78,31.37741,739.5901,57.47326,602.0,6.199999999999999,127.022,73.0,180.9479,6.0,16.0,7.0,87.0,2.15,1.98,3.402,2.15,1.49,3.44,3.32,8.3703,7.54,3.61,5.0,6.0,6.0,2.0,4.0,3.0,6.0,1314.0,39.7,3269.15,5698.15,16.6,0.92,31.6,743.0,57.5,782.0,8.1,140.976,8.0,15.9994,2.0,2.0,2.0,9.0,0.6,0.73,0.465,0.6,0.78,0.89,1.08,3.4043,2.4,0.881,0.0,2.0,1.0,2.0,0.0,0.0,2.0,503.0,0.793,54.75,90.15,0.00143,0.14,0.22259,3.4099,0.02674,180.0,1.9,13.954,7.6707902,272.2915136,208.7488428,89.3582442
8,142,mp-11022,Sc2 Ag2 O4,110.833977310966,13.8542471638707,5.53811517415263,8,6.0,194,3.21142308,3.21142277725513,12.40930025,90.0,90.0,120.000003118468,-7.39198185875,-2.62738122604167,0.0,2.1264,0.0,0.0,0,0,2.07407977178678,2.1201495513396,2.1086321064514,0.000424484917609,0.469170206299681,1.51578066650666,0.198495087280634,0.198495087280634,1.17368451099332,3.79190380474764,0.496558831574096,0.496558831574096,21.0,46.2057275,3.25,11.5,5.25,62.5,1.1,1.06,1.51375,1.1,1.15,2.5425,2.3025,5.9164,5.715,2.57,2.1100000000000003,6.5,3.75,1.75,2.0,2.75,3.75,998.0,6.8215,789.7,1442.65,3.373215,0.66875,6.461295,142.89995,111.21337,290.0,3.0225,106.4535,39.0,91.8688,3.0,13.0,4.0,76.0,1.0,0.71,2.285,1.0,0.4,2.08,2.25,5.2975,4.2,2.42,5.44,8.0,5.0,1.0,4.0,10.0,5.0,681.0,17.007,1759.4,3015.0,10.49857,0.685,13.87741,310.7901,428.97326,129.0,1.2799999999999998,122.976,47.0,107.8682,5.0,16.0,7.0,87.0,1.6,1.44,2.75,1.6,1.29,3.44,3.32,8.3703,7.54,3.61,5.44,11.0,6.0,2.0,4.0,10.0,6.0,1314.0,17.8,1814.15,3105.15,10.5,0.92,14.1,314.2,429.0,378.0,3.9,140.976,8.0,15.9994,2.0,3.0,3.0,11.0,0.6,0.73,0.465,0.6,0.89,1.36,1.07,3.0728,3.34,1.19,0.0,3.0,1.0,1.0,0.0,0.0,1.0,633.0,0.793,54.75,90.15,0.00143,0.235,0.22259,3.4099,0.02674,249.0,2.62,18.0,16.0689811,190.7981719,160.9501893,73.3084327
9,143,mp-11023,Sc2 Au2 O4,111.105889528723,13.8882361910903,8.1878105688723,8,6.0,194,3.24524785,3.24524673175447,12.18178308,90.0,90.0,120.000001103378,-7.4392658325,-2.564333700625,0.012146470677084,1.7796,0.0,0.0,0,0,2.04446646159545,2.12426526172449,2.10431556169223,0.001273569700407,0.720033837444043,2.08809812858772,0.198009305297112,0.198009305297112,1.22132771830569,3.54185038308649,0.335865122534064,0.335865122534064,29.0,68.48031250000001,3.5,11.5,5.25,62.75,1.0375,1.06,1.585,1.0375,1.205,2.6950000000000003,2.3325,6.948125,6.047499999999999,2.5825,2.1100000000000003,6.5,3.75,1.75,2.0,2.75,3.75,1037.75,6.371499999999999,815.2,1659.65,5.573214999999999,0.642,6.773795,163.85494999999997,83.21337,310.5,3.2375,130.67475000000002,71.0,180.96714,4.0,13.0,4.0,76.0,1.0,0.71,2.285,1.0,0.62,2.08,2.13,5.2975,4.2,2.42,5.44,8.0,5.0,1.0,4.0,10.0,5.0,681.0,17.007,1759.4,3263.0,19.29857,0.792,13.87741,330.9901,316.97326,129.0,1.2799999999999998,204.747,79.0,196.96654,6.0,16.0,7.0,87.0,1.6,1.44,2.75,1.6,1.51,3.44,3.32,8.3703,7.54,3.61,5.44,11.0,6.0,2.0,4.0,10.0,6.0,1314.0,17.8,1814.15,3353.15,19.3,0.92,14.1,334.4,317.0,378.0,3.9,222.747,8.0,15.9994,2.0,3.0,3.0,11.0,0.6,0.73,0.465,0.6,0.89,1.36,1.19,3.0728,3.34,1.19,0.0,3.0,1.0,1.0,0.0,0.0,1.0,633.0,0.793,54.75,90.15,0.00143,0.128,0.22259,3.4099,0.02674,249.0,2.62,18.0,13.3979124,200.6545814,160.4305957,73.5942868
10,145,mp-1105,Ba1 O2,50.806471622352,16.935490540784,5.53417895210811,3,4.0,139,3.83801512284954,3.83801452304376,4.38878952771084,115.928699873026,115.928697896375,89.9999919830697,-6.10849164666667,-2.17104085916667,0.0,2.2352,0.0,0.0,0,0,1.49464345835006,2.81490118076572,2.67430988298722,0.147738015417369,0.275555447031689,1.41714229902011,0.0,0.196825319308349,0.843244627080412,4.33668665355641,0.0,0.602317590771723,24.0,56.44193333333333,3.333333333333333,11.333333333333332,5.333333333333333,61.0,1.1166666666666665,1.1466666666666665,1.444,1.1166666666666665,1.3033333333333332,2.59,2.573333333333333,7.070166666666666,5.826666666666666,2.700333333333333,0.6666666666666666,4.666666666666667,4.666666666666667,2.0,2.6666666666666665,0.0,4.666666666666667,1043.6666666666667,13.762,369.2166666666666,697.8166666666667,1.16762,0.6813333333333332,2.7317266666666664,49.60659999999999,6.15116,226.0,2.38,98.63533333333334,48.0,121.3276,4.0,14.0,5.0,78.0,1.5499999999999998,1.25,2.9370000000000003,1.5499999999999998,0.28,2.55,2.24,3.9004,5.140000000000001,2.729,2.0,4.0,4.0,0.0,4.0,0.0,4.0,811.0,38.907,943.4,1823.0,3.49857,0.7160000000000001,7.52741,138.5901,18.37326,69.0,0.7200000000000002,127.022,56.0,137.327,6.0,16.0,7.0,87.0,2.15,1.98,3.402,2.15,1.49,3.44,3.32,8.3703,7.54,3.61,2.0,6.0,6.0,2.0,4.0,0.0,6.0,1314.0,39.7,998.15,1913.15,3.5,0.92,7.75,142.0,18.4,249.0,2.62,140.976,8.0,15.9994,2.0,2.0,2.0,9.0,0.6,0.73,0.465,0.6,1.21,0.89,1.08,4.4699,2.4,0.881,0.0,2.0,2.0,2.0,0.0,0.0,2.0,503.0,0.793,54.75,90.15,0.00143,0.204,0.22259,3.4099,0.02674,180.0,1.9,13.954,-1.550471,94.0904013,64.7956093,26.6766494
13,167,mp-11321,Y6 Ta2 O14,292.630125433681,13.3013693378946,6.35163133050035,22,3.0,20,6.4492560285392,6.4492560285392,7.43658817,90.0,90.0,108.90163995091,-9.82889443681818,-3.83943880511364,0.0,3.2385,0.0,0.0,0,0,1.93074555843808,2.46496776569378,2.25328146617857,0.027548122286257,0.478419642518071,1.68130331513494,0.04100739793012,0.246044387580722,1.00189007083556,3.52092796322211,0.085876291785905,0.515257750715431,22.363636363636363,50.87829545454545,3.1818181818181817,11.454545454545457,5.636363636363636,62.99999999999999,1.0045454545454544,1.0281818181818183,1.3513636363636363,1.018181818181818,1.1245454545454543,2.658181818181818,2.673636363636364,6.8526181818181815,6.041818181818181,2.7245454545454546,1.2727272727272727,5.090909090909091,4.363636363636363,2.0,2.5454545454545454,0.5454545454545454,4.545454545454546,1069.0,7.886454545454544,821.8954545454545,1559.9681818181816,2.7290918181818187,0.6799999999999999,6.123466363636364,168.7153909090909,9.935198181818182,344.9090909090909,3.595454545454545,100.6029090909091,65.0,164.9485,4.0,13.0,4.0,75.0,1.2000000000000002,0.8900000000000001,2.475,1.25,0.4299999999999999,2.22,1.91,4.966,4.35,2.49,5.0,3.0,5.0,0.0,4.0,3.0,4.0,714.0,21.907,3214.4,5608.0,16.598570000000002,0.78,31.37741,739.5901,57.47326,533.0,5.48,111.376,73.0,180.9479,6.0,16.0,7.0,87.0,1.8,1.62,2.94,1.85,1.21,3.44,3.32,8.3703,7.54,3.61,5.0,6.0,6.0,2.0,4.0,3.0,6.0,1314.0,22.7,3269.15,5698.15,16.6,0.92,31.6,743.0,57.5,782.0,8.1,140.976,8.0,15.9994,2.0,3.0,3.0,12.0,0.6,0.73,0.465,0.6,0.78,1.22,1.41,3.4043,3.19,1.12,0.0,3.0,1.0,2.0,0.0,0.0,2.0,600.0,0.793,54.75,90.15,0.00143,0.14,0.22259,3.4099,0.02674,249.0,2.62,29.6,65.1221676,459.6771886,425.5088722,203.0253242
14,172,mp-1143,Al4 O6,87.4200193995937,8.74200193995937,3.87349911916901,10,5.0,167,5.17795476286719,5.17795423274723,5.17795603494912,55.2896276411625,55.2896093960627,55.289594926907,-7.893557943,-3.42731438425,0.0,5.8537,0.0,0.0,0,0,1.87322022778276,1.9892675860605,1.93124390692163,0.003414166317442,0.549073316726158,1.1439027431795,0.0,0.320292768090259,1.23918964541542,2.58164509461547,0.0,0.722860626492331,10.0,20.3922556,2.4000000000000004,14.8,6.2,81.4,0.86,0.91,0.949,0.86,0.938,2.708,2.648,6.43166,5.816,2.8112,1.2000000000000002,4.8,4.8,2.0,2.8,0.0,4.8,1019.6,3.7958,406.11,1150.15,1.080858,0.912,4.449554,119.40594,94.816044,279.8,2.928,101.2904,5.0,10.982139000000002,1.0,3.0,2.0,14.0,0.65,0.4499999999999999,1.21,0.65,0.6799999999999999,1.83,1.68,4.8466000000000005,4.3100000000000005,1.997,3.0,3.0,3.0,0.0,3.0,0.0,3.0,736.0,7.507000000000001,878.4,2650.0,2.69857,0.02,10.56741,289.9901,236.97326,77.0,0.77,99.214,13.0,26.981539,3.0,16.0,7.0,87.0,1.25,1.18,1.675,1.25,1.21,3.44,3.32,8.3703,7.54,3.61,3.0,6.0,6.0,2.0,4.0,0.0,6.0,1314.0,8.3,933.15,2740.15,2.7,0.92,10.79,293.4,237.0,326.0,3.39,140.976,8.0,15.9994,2.0,13.0,5.0,73.0,0.6,0.73,0.465,0.6,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,0.793,54.75,90.15,0.00143,0.9,0.22259,3.4099,0.02674,249.0,2.62,41.762,75.3947951,110.1566907,160.9994602,108.4418023
