,Unnamed: 0,composition,mat_id,F_kJ/mol,S _J/K/mol,e_kJ/mol,avg_ Atomic_Number,avg_ Atomic_Weight,avg_Period,avg_group,avg_families,avg_Mendeleev Number,avg_Atomic Radus,avg_ Covalent_Radius,avg_Zunger radii sum,avg_ionic radius,avg_crystal radius,avg_ Pauling_Electronegativity,avg_MB electonegativity,avg_Gordy electonegativity,avg_Mullinke EN,avg_Allred-Rockow electronegativity,avg_metallic valence,avg_number of valence electrons,avg_gilmor number of valence electron,avg_valence s,avg_valence p,avg_valence d,avg_outer shell electrons,avg_1st ionization potential (kJ/mol),avg_polarizability(A^3),avg_Melting point (K),avg_Boiling Point (K),avg_Density (g/mL),avg_specific heat (J/g K) ,avg_heat of fusion (kJ/mol) ,avg_heat of vaporization (kJ/mol) ,avg_thermal conductivity (W/(m K)) ,avg_heat atomization (kJ/mol),avg_Cohesive energy,avg_electron affinity (kJ/mol),diff_ Atomic_Number,diff_ Atomic_Weight,diff_Period,diff_group,diff_families,diff_Mendeleev Number,diff_Atomic Radus,diff_ Covalent_Radius,diff_Zunger radii sum,diff_ionic radius,diff_crystal radius,diff_ Pauling_Electronegativity,diff_MB electonegativity,diff_Gordy electonegativity,diff_Mullinke EN,diff_Allred-Rockow electronegativity,diff_metallic valence,diff_number of valence electrons,diff_gilmor number of valence electron,diff_valence s,diff_valence p,diff_valence d,diff_outer shell electrons,diff_1st ionization potential (kJ/mol),diff_polarizability(A^3),diff_Melting point (K),diff_Boiling Point (K),diff_Density (g/mL),diff_specific heat (J/g K) ,diff_heat of fusion (kJ/mol) ,diff_heat of vaporization (kJ/mol) ,diff_thermal conductivity (W/(m K)) ,diff_heat atomization (kJ/mol),diff_Cohesive energy,diff_electron affinity (kJ/mol),max_ Atomic_Number,max_ Atomic_Weight,max_Period,max_group,max_families,max_Mendeleev Number,max_Atomic Radus,max_ Covalent_Radius,max_Zunger radii sum,max_ionic radius,max_crystal radius,max_ Pauling_Electronegativity,max_MB electonegativity,max_Gordy electonegativity,max_Mullinke EN,max_Allred-Rockow electronegativity,max_metallic valence,max_number of valence electrons,max_gilmor number of valence electron,max_valence s,max_valence p,max_valence d,max_outer shell electrons,max_1st ionization potential (kJ/mol),max_polarizability(A^3),max_Melting point (K),max_Boiling Point (K),max_Density (g/mL),max_specific heat (J/g K) ,max_heat of fusion (kJ/mol) ,max_heat of vaporization (kJ/mol) ,max_thermal conductivity (W/(m K)) ,max_heat atomization (kJ/mol),max_Cohesive energy,max_electron affinity (kJ/mol),min_ Atomic_Number,min_ Atomic_Weight,min_Period,min_group,min_families,min_Mendeleev Number,min_Atomic Radus,min_ Covalent_Radius,min_Zunger radii sum,min_ionic radius,min_crystal radius,min_ Pauling_Electronegativity,min_MB electonegativity,min_Gordy electonegativity,min_Mullinke EN,min_Allred-Rockow electronegativity,min_metallic valence,min_number of valence electrons,min_gilmor number of valence electron,min_valence s,min_valence p,min_valence d,min_outer shell electrons,min_1st ionization potential (kJ/mol),min_polarizability(A^3),min_Melting point (K),min_Boiling Point (K),min_Density (g/mL),min_specific heat (J/g K) ,min_heat of fusion (kJ/mol) ,min_heat of vaporization (kJ/mol) ,min_thermal conductivity (W/(m K)) ,min_heat atomization (kJ/mol),min_Cohesive energy,min_electron affinity (kJ/mol),nsites
0,0,Al,g,-213.6528,193.775,18.877,13.0,26.981539,3.0,13.0,5.0,73.0,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326.0,3.39,41.762,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13,26.981539,3,13,5,73,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3.0,3,3,2,1,0,3,578,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,41.762,13,26.981539,3,13,5,73,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3.0,3,3,2,1,0,3,578,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,41.762,1
1,1,AlBO2,g,-372.6216,363.07,63.062,8.5,17.44783475,2.25,14.5,6.25,79.75,0.825,0.865,0.85,0.825,0.8,2.6325,2.545,6.21485,5.65,2.721,1.5,4.5,4.5,2.0,2.5,0.0,4.5,1001.75,3.2215,848.7,1435.9,1.260715,0.94,15.358795,197.47995,66.01337,349.25,3.61,87.67575,8,16.170539,1,3,2,15,0.65,0.45,1.21,0.65,0.96,1.83,1.68,4.8466,4.31,1.997,3.0,3,3,0,3,0,3,736,7.507,2297.4,2733.0,2.69857,0.12,49.97741,486.2901,236.97326,324,3.19,113.987,13,26.981539,3,16,7,87,1.25,1.18,1.675,1.25,1.21,3.44,3.32,8.3703,7.54,3.61,3.0,6,6,2,4,0,6,1314,8.3,2352.15,2823.15,2.7,1.02,50.2,489.7,237.0,573,5.81,140.976,5,10.811,2,13,5,72,0.6,0.73,0.465,0.6,0.25,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,0.793,54.75,90.15,0.00143,0.9,0.22259,3.4099,0.02674,249,2.62,26.989,4
2,2,AlBr,g,-315.8064,291.164,33.591,24.0,53.4427695,3.5,15.0,6.5,84.0,1.2,1.16,1.4375,1.2,1.175,2.285,2.235,4.9658,5.41,2.149,1.5,5.0,5.0,2.0,3.0,0.0,5.0,859.0,5.7,599.55,1536.05,2.91,0.6865,8.038,154.419,118.561,219.0,2.305,183.1495,22,52.922461,1,4,3,22,0.1,0.04,0.475,0.1,1.29,1.35,1.19,2.8842,4.36,1.072,3.0,4,4,0,4,0,4,562,5.2,667.2,2408.2,0.42,0.427,5.504,277.962,236.878,214,2.17,282.775,35,79.904,4,17,8,95,1.25,1.18,1.675,1.25,1.82,2.96,2.83,6.4079,7.59,2.685,3.0,7,7,2,5,0,7,1140,8.3,933.15,2740.15,3.12,0.9,10.79,293.4,237.0,326,3.39,324.537,13,26.981539,3,13,5,73,1.15,1.14,1.2,1.15,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,3.1,265.95,331.95,2.7,0.473,5.286,15.438,0.122,112,1.22,41.762,2
3,3,AlBr3,g,-480.3852,461.152,72.998,29.5,66.67338475,3.75,16.0,7.25,89.5,1.175,1.15,1.31875,1.175,1.4975,2.6225,2.5325,5.68685,6.5,2.417,0.75,6.0,6.0,2.0,4.0,0.0,6.0,999.5,4.4,432.75,934.0,3.015,0.57975,6.662,84.9285,59.3415,165.5,1.7625,253.84325,22,52.922461,1,4,3,22,0.1,0.04,0.475,0.1,1.29,1.35,1.19,2.8842,4.36,1.072,3.0,4,4,0,4,0,4,562,5.2,667.2,2408.2,0.42,0.427,5.504,277.962,236.878,214,2.17,282.775,35,79.904,4,17,8,95,1.25,1.18,1.675,1.25,1.82,2.96,2.83,6.4079,7.59,2.685,3.0,7,7,2,5,0,7,1140,8.3,933.15,2740.15,3.12,0.9,10.79,293.4,237.0,326,3.39,324.537,13,26.981539,3,13,5,73,1.15,1.14,1.2,1.15,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,3.1,265.95,331.95,2.7,0.473,5.286,15.438,0.122,112,1.22,41.762,4
4,4,AlCl,g,-301.4304,278.952,33.312,15.0,31.2171195,3.0,15.0,6.5,83.5,1.125,1.085,1.3425,1.125,1.1,2.385,2.31,5.18415,5.765,2.241,1.5,5.0,5.0,2.0,3.0,0.0,5.0,914.5,5.25,552.65,1489.35,1.351605,0.69,7.01,151.8,118.50445,223.5,2.395,195.1685,4,8.471161,0,4,3,21,0.25,0.19,0.665,0.25,1.14,1.55,1.34,3.3209,5.07,1.256,3.0,4,4,0,4,0,4,673,6.1,761.0,2501.6,2.69679,0.42,7.56,283.2,236.9911,205,1.99,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.16,2.98,6.8446,8.3,2.869,3.0,7,7,2,5,0,7,1251,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,348.575,13,26.981539,3,13,5,73,1.0,0.99,1.01,1.0,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,2.2,172.15,238.55,0.00321,0.48,3.23,10.2,0.0089,121,1.4,41.762,2
5,5,AlClF,g,-380.4588,358.554,49.806,13.0,27.144214,2.66666666666667,15.6666666666667,7.0,86.6666666666667,0.916666666666667,0.963333333333333,1.03,0.916666666666667,1.13,2.91666666666667,2.8,6.8179,7.31333333333333,2.89166666666667,1.0,5.66666666666667,5.66666666666667,2.0,3.66666666666667,0.0,5.66666666666667,1170.0,3.71133333333333,386.216666666667,1021.25,0.901636666666667,0.733333333333333,4.7584,102.289933333333,79.0122666666667,175.333333333333,1.87666666666667,239.500633333333,8,16.454297,1,4,3,21,0.75,0.46,1.27,0.75,1.14,2.37,2.14,6.5617,7.18,2.58,3.0,4,4,0,4,0,4,1103,7.666,879.8,2655.1,2.6983,0.42,10.5348,290.1302,236.9911,247,2.55,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.98,3.78,10.0854,10.41,4.193,3.0,7,7,2,5,0,7,1681,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,348.575,9,18.998403,2,13,5,73,0.5,0.72,0.405,0.5,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,0.634,53.35,85.05,0.0017,0.48,0.2552,3.2698,0.0089,79,0.84,41.762,3
6,6,AlClF2,g,-413.964,403.003,69.64,12.0,25.10776125,2.5,16.0,7.25,88.25,0.8125,0.9025,0.87375,0.8125,1.145,3.1825,3.045,7.634775,8.0875,3.217,0.75,6.0,6.0,2.0,4.0,0.0,6.0,1297.75,2.942,303.0,787.2,0.6766525,0.755,3.6326,77.5349,59.266175,151.25,1.6175,261.6667,8,16.454297,1,4,3,21,0.75,0.46,1.27,0.75,1.14,2.37,2.14,6.5617,7.18,2.58,3.0,4,4,0,4,0,4,1103,7.666,879.8,2655.1,2.6983,0.42,10.5348,290.1302,236.9911,247,2.55,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.98,3.78,10.0854,10.41,4.193,3.0,7,7,2,5,0,7,1681,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,348.575,9,18.998403,2,13,5,73,0.5,0.72,0.405,0.5,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,0.634,53.35,85.05,0.0017,0.48,0.2552,3.2698,0.0089,79,0.84,41.762,4
7,7,AlClO,g,-341.6628,328.588,52.643,12.6666666666667,26.1445463333333,2.66666666666667,15.3333333333333,6.66666666666667,84.6666666666667,0.95,0.966666666666666,1.05,0.95,1.13666666666667,2.73666666666667,2.64666666666667,6.2462,6.35666666666667,2.69733333333333,1.0,5.33333333333333,5.33333333333333,2.0,3.33333333333333,0.0,5.33333333333333,1047.66666666667,3.76433333333333,386.683333333333,1022.95,0.901546666666667,0.766666666666667,4.74753,102.336633333333,79.01188,232.0,2.47,177.104333333333,9,19.4533,1,4,3,21,0.65,0.45,1.21,0.65,1.14,1.83,1.68,4.8466,5.07,1.997,3.0,4,4,0,4,0,4,736,7.507,878.4,2650.0,2.69857,0.44,10.56741,289.9901,236.9911,205,1.99,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.44,3.32,8.3703,8.3,3.61,3.0,7,7,2,5,0,7,1314,8.3,933.15,2740.15,2.7,0.92,10.79,293.4,237.0,326,3.39,348.575,8,15.9994,2,13,5,73,0.6,0.73,0.465,0.6,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,0.793,54.75,90.15,0.00143,0.48,0.22259,3.4099,0.0089,121,1.4,41.762,3
8,8,AlCl2,g,-389.5872,366.968,50.775,15.6666666666667,32.6289796666667,3.0,15.6666666666667,7.0,87.0,1.08333333333333,1.05333333333333,1.23166666666667,1.08333333333333,1.29,2.64333333333333,2.53333333333333,5.73763333333333,6.61,2.45033333333333,1.0,5.66666666666667,5.66666666666667,2.0,3.66666666666667,0.0,5.66666666666667,1026.66666666667,4.23333333333333,425.816666666667,1072.41666666667,0.90214,0.62,5.75,104.6,79.0059333333333,189.333333333333,2.06333333333333,246.304,4,8.471161,0,4,3,21,0.25,0.19,0.665,0.25,1.14,1.55,1.34,3.3209,5.07,1.256,3.0,4,4,0,4,0,4,673,6.1,761.0,2501.6,2.69679,0.42,7.56,283.2,236.9911,205,1.99,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.16,2.98,6.8446,8.3,2.869,3.0,7,7,2,5,0,7,1251,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,348.575,13,26.981539,3,13,5,73,1.0,0.99,1.01,1.0,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,2.2,172.15,238.55,0.00321,0.48,3.23,10.2,0.0089,121,1.4,41.762,3
9,9,AlCl2F,g,-431.8392,418.914,70.858,14.0,29.2213355,2.75,16.0,7.25,88.5,0.9375,0.97,1.025,0.9375,1.265,2.9775,2.845,6.824575,7.56,2.886,0.75,6.0,6.0,2.0,4.0,0.0,6.0,1190.25,3.3335,332.7,825.575,0.67703,0.67,4.3763,79.26745,59.261425,161.75,1.7575,266.769225,8,16.454297,1,4,3,21,0.75,0.46,1.27,0.75,1.14,2.37,2.14,6.5617,7.18,2.58,3.0,4,4,0,4,0,4,1103,7.666,879.8,2655.1,2.6983,0.42,10.5348,290.1302,236.9911,247,2.55,306.813,17,35.4527,3,17,8,94,1.25,1.18,1.675,1.25,1.67,3.98,3.78,10.0854,10.41,4.193,3.0,7,7,2,5,0,7,1681,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326,3.39,348.575,9,18.998403,2,13,5,73,0.5,0.72,0.405,0.5,0.53,1.61,1.64,3.5237,3.23,1.613,0.0,3,3,2,1,0,3,578,0.634,53.35,85.05,0.0017,0.48,0.2552,3.2698,0.0089,79,0.84,41.762,4
